"","k = 2","k = 5","k = 10"
"1",121395.216678187,117154.905632857,121542.529962994
"2",128442.744291618,120665.992600781,119608.386308988
"3",125391.478372325,126695.521424029,121316.299834145
"4",117972.116526596,129326.176089127,120368.450602728
"5",120510.272043501,127416.082434721,113755.38840581
"6",143130.836570951,121753.911829408,118500.531790269
"7",125501.761351119,121658.431369672,120406.378130629
"8",119360.778869325,120350.213300409,118472.705477179
"9",135394.314964069,116106.395218071,118784.35437511
"10",131298.298493815,117319.734579568,117950.702922802
"11",135233.823061835,119229.451230678,115451.258140339
"12",119919.021159435,120639.166277136,124485.687413231
"13",121969.024148021,114134.203931644,122696.027047595
"14",131899.742611987,122247.171738037,114667.222369847
"15",126349.83238168,117096.665079639,122024.418816174
"16",120359.643635717,116477.106838018,117052.222473777
"17",125951.770086484,122305.159391115,118304.013438026
"18",120889.372447836,119204.214510991,120271.888502865
"19",120728.479381861,124982.196870206,122790.06603331
"20",125388.165683595,120250.253301636,122678.939898076
"21",118467.469948554,117706.440160868,115399.463302451
"22",119222.558000355,121794.749952279,120264.278258704
"23",131314.494497996,118425.931565715,119549.03140074
"24",124448.136811938,122308.564151364,124033.4391068
"25",117943.626049,123526.861978727,119050.988809937
"26",123282.933809155,116806.466247474,119711.107254986
"27",132091.351420133,120119.581135741,122898.475304394
"28",124046.294675072,119172.160172804,119330.935115042
"29",135982.702496374,121388.94969437,119514.048867661
"30",117851.653879473,120467.441710874,118440.014350147
